genome,location,length
V1DD.contigs.10kb_virus_k127_539619 flag=1 multi=9.0000 len=95055.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_539619 flag=1 multi=9.0000 len=95055.fasta,95055
V1DD.contigs.10kb_virus_k127_541172 flag=0 multi=47.3208 len=91460.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_541172 flag=0 multi=47.3208 len=91460.fasta,91460
V1DD.contigs.10kb_virus_k127_548115 flag=0 multi=24.0000 len=52443.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_548115 flag=0 multi=24.0000 len=52443.fasta,52443
V1DD.contigs.10kb_virus_k127_560382 flag=1 multi=12.0000 len=58893.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_560382 flag=1 multi=12.0000 len=58893.fasta,58893
V1DD.contigs.10kb_virus_k127_561518 flag=3 multi=31.9920 len=78056.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_561518 flag=3 multi=31.9920 len=78056.fasta,78056
V1DD.contigs.10kb_virus_k127_568268 flag=0 multi=15.0000 len=164612.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_568268 flag=0 multi=15.0000 len=164612.fasta,164612
V1DD.contigs.10kb_virus_k127_568400 flag=0 multi=15.0000 len=81495.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_568400 flag=0 multi=15.0000 len=81495.fasta,81495
V1DD.contigs.10kb_virus_k127_570344 flag=1 multi=53.0000 len=120598.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_570344 flag=1 multi=53.0000 len=120598.fasta,120598
V1DD.contigs.10kb_virus_k127_575434 flag=1 multi=28.0000 len=67621.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_575434 flag=1 multi=28.0000 len=67621.fasta,67621
V1DD.contigs.10kb_virus_k127_598730 flag=1 multi=11.0000 len=68941.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_598730 flag=1 multi=11.0000 len=68941.fasta,68941
V1DD.contigs.10kb_virus_k127_604535 flag=1 multi=12.0000 len=156269.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_604535 flag=1 multi=12.0000 len=156269.fasta,156269
V1DD.contigs.10kb_virus_k127_614346 flag=0 multi=15.0000 len=54362.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_614346 flag=0 multi=15.0000 len=54362.fasta,54362
V1DD.contigs.10kb_virus_k127_615540 flag=0 multi=17.2001 len=87203.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_615540 flag=0 multi=17.2001 len=87203.fasta,87203
V1DD.contigs.10kb_virus_k127_644094 flag=1 multi=24.0000 len=50217.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_644094 flag=1 multi=24.0000 len=50217.fasta,50217
V1DD.contigs.10kb_virus_k127_646954 flag=0 multi=7.9804 len=51486.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_646954 flag=0 multi=7.9804 len=51486.fasta,51486
V1DD.contigs.10kb_virus_k127_654136 flag=0 multi=18.4021 len=52616.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_654136 flag=0 multi=18.4021 len=52616.fasta,52616
V1DD.contigs.10kb_virus_k127_674582 flag=0 multi=12.2612 len=110225.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_674582 flag=0 multi=12.2612 len=110225.fasta,110225
V1DD.contigs.10kb_virus_k127_68288 flag=3 multi=86.0000 len=53390.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_68288 flag=3 multi=86.0000 len=53390.fasta,53390
V1DD.contigs.10kb_virus_k127_688419 flag=1 multi=11.0000 len=68733.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_688419 flag=1 multi=11.0000 len=68733.fasta,68733
V1DD.contigs.10kb_virus_k127_694185 flag=3 multi=417.0000 len=91569.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_694185 flag=3 multi=417.0000 len=91569.fasta,91569
V1DD.contigs.10kb_virus_k127_707472|provirus_1_61071.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_707472|provirus_1_61071.fasta,61071
V1DD.contigs.10kb_virus_k127_719364 flag=3 multi=33.0000 len=96341.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_719364 flag=3 multi=33.0000 len=96341.fasta,96341
V1DD.contigs.10kb_virus_k127_721578 flag=0 multi=59.0000 len=53061.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_721578 flag=0 multi=59.0000 len=53061.fasta,53061
V1DD.contigs.10kb_virus_k127_738101 flag=0 multi=18.4849 len=51404.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_738101 flag=0 multi=18.4849 len=51404.fasta,51404
V1DD.contigs.10kb_virus_k127_739891 flag=1 multi=9.0000 len=50591.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_739891 flag=1 multi=9.0000 len=50591.fasta,50591
V1DD.contigs.10kb_virus_k127_763468 flag=1 multi=11.6212 len=58267.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_763468 flag=1 multi=11.6212 len=58267.fasta,58267
V1DD.contigs.10kb_virus_k127_787833 flag=0 multi=19.9086 len=71037.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_787833 flag=0 multi=19.9086 len=71037.fasta,71037
V1DD.contigs.10kb_virus_k127_78826 flag=0 multi=18.9961 len=92717.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_78826 flag=0 multi=18.9961 len=92717.fasta,92717
V1DD.contigs.10kb_virus_k127_790944 flag=0 multi=19.3774 len=115016.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_790944 flag=0 multi=19.3774 len=115016.fasta,115016
V1DD.contigs.10kb_virus_k127_791060|provirus_2_58029.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_791060|provirus_2_58029.fasta,58028
V1DD.contigs.10kb_virus_k127_791814 flag=1 multi=9.0000 len=116436.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_791814 flag=1 multi=9.0000 len=116436.fasta,116436
V1DD.contigs.10kb_virus_k127_793464 flag=0 multi=90.4969 len=61565.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_793464 flag=0 multi=90.4969 len=61565.fasta,61565
V1DD.contigs.10kb_virus_k127_793618|provirus_34568_98683.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_793618|provirus_34568_98683.fasta,64116
V1DD.contigs.10kb_virus_k127_806707 flag=1 multi=17.0000 len=78531.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_806707 flag=1 multi=17.0000 len=78531.fasta,78531
V1DD.contigs.10kb_virus_k127_819984 flag=0 multi=8.9973 len=53616.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_819984 flag=0 multi=8.9973 len=53616.fasta,53616
V1DD.contigs.10kb_virus_k127_821232 flag=1 multi=12.5395 len=70739.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_821232 flag=1 multi=12.5395 len=70739.fasta,70739
V1DD.contigs.10kb_virus_k127_831617 flag=0 multi=14.9978 len=128380.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_831617 flag=0 multi=14.9978 len=128380.fasta,128380
V1DD.contigs.10kb_virus_k127_84603 flag=1 multi=11.0000 len=64653.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_84603 flag=1 multi=11.0000 len=64653.fasta,64653
V1DD.contigs.10kb_virus_k127_851458 flag=0 multi=28.3164 len=72656.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_851458 flag=0 multi=28.3164 len=72656.fasta,72656
V1DD.contigs.10kb_virus_k127_853273 flag=0 multi=20.0000 len=54083.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_853273 flag=0 multi=20.0000 len=54083.fasta,54083
V1DD.contigs.10kb_virus_k127_854023 flag=1 multi=11.0000 len=50371.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_854023 flag=1 multi=11.0000 len=50371.fasta,50371
V1DD.contigs.10kb_virus_k127_855495 flag=0 multi=9.4781 len=55989.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_855495 flag=0 multi=9.4781 len=55989.fasta,55989
V1DD.contigs.10kb_virus_k127_859694 flag=1 multi=31.0000 len=54276.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_859694 flag=1 multi=31.0000 len=54276.fasta,54276
V1DD.contigs.10kb_virus_k127_864312 flag=0 multi=9.9870 len=80446.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_864312 flag=0 multi=9.9870 len=80446.fasta,80446
V1DD.contigs.10kb_virus_k127_865066 flag=1 multi=13.0000 len=70646.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_865066 flag=1 multi=13.0000 len=70646.fasta,70646
V1DD.contigs.10kb_virus_k127_870831 flag=1 multi=10.0866 len=51220.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_870831 flag=1 multi=10.0866 len=51220.fasta,51220
V1DD.contigs.10kb_virus_k127_876834 flag=1 multi=11.0000 len=65488.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_876834 flag=1 multi=11.0000 len=65488.fasta,65488
V1DD.contigs.10kb_virus_k127_877299 flag=0 multi=14.0000 len=60232.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_877299 flag=0 multi=14.0000 len=60232.fasta,60232
V1DD.contigs.10kb_virus_k127_884177 flag=0 multi=14.0000 len=70443.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_884177 flag=0 multi=14.0000 len=70443.fasta,70443
V1DD.contigs.10kb_virus_k127_886471 flag=0 multi=28.6231 len=52194.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_886471 flag=0 multi=28.6231 len=52194.fasta,52194
V1DD.contigs.10kb_virus_k127_889266 flag=1 multi=11.0000 len=55193.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_889266 flag=1 multi=11.0000 len=55193.fasta,55193
V1DD.contigs.10kb_virus_k127_895352 flag=0 multi=10.9966 len=64874.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_895352 flag=0 multi=10.9966 len=64874.fasta,64874
V1DD.contigs.10kb_virus_k127_911571 flag=1 multi=51.0000 len=58981.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_911571 flag=1 multi=51.0000 len=58981.fasta,58981
V1DD.contigs.10kb_virus_k127_912551 flag=1 multi=73.0000 len=57287.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_912551 flag=1 multi=73.0000 len=57287.fasta,57287
V1DD.contigs.10kb_virus_k127_913884 flag=0 multi=10.9980 len=50098.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_913884 flag=0 multi=10.9980 len=50098.fasta,50098
V1DD.contigs.10kb_virus_k127_920743 flag=0 multi=22.0000 len=78859.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_920743 flag=0 multi=22.0000 len=78859.fasta,78859
V1DD.contigs.10kb_virus_k127_922061 flag=0 multi=13.0000 len=58747.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_922061 flag=0 multi=13.0000 len=58747.fasta,58747
V1DD.contigs.10kb_virus_k127_925058 flag=3 multi=42.9965 len=120182.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_925058 flag=3 multi=42.9965 len=120182.fasta,120182
V1DD.contigs.10kb_virus_k127_929000 flag=1 multi=10.0000 len=65541.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_929000 flag=1 multi=10.0000 len=65541.fasta,65541
V1DD.contigs.10kb_virus_k127_931031 flag=3 multi=32.0000 len=113453.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_931031 flag=3 multi=32.0000 len=113453.fasta,113453
V1DD.contigs.10kb_virus_k127_938817 flag=1 multi=8.6807 len=59747.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_938817 flag=1 multi=8.6807 len=59747.fasta,59747
V1DD.contigs.10kb_virus_k127_952227 flag=3 multi=41.0000 len=106140.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_952227 flag=3 multi=41.0000 len=106140.fasta,106140
V1DD.contigs.10kb_virus_k127_953121 flag=3 multi=16.0000 len=70467.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_953121 flag=3 multi=16.0000 len=70467.fasta,70467
V1DD.contigs.10kb_virus_k127_954275 flag=1 multi=11.0000 len=94514.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_954275 flag=1 multi=11.0000 len=94514.fasta,94514
V1DD.contigs.10kb_virus_k127_988717 flag=1 multi=13.0000 len=61114.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_988717 flag=1 multi=13.0000 len=61114.fasta,61114
V1DD.contigs.10kb_virus_k127_994101 flag=1 multi=26.0000 len=112269.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_994101 flag=1 multi=26.0000 len=112269.fasta,112269
V1DD.contigs.10kb_virus_k127_995414 flag=0 multi=69.0898 len=89136.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1DD.contigs.10kb_virus_k127_995414 flag=0 multi=69.0898 len=89136.fasta,89136
V1LD.contigs.10kb_virus_k127_1001600 flag=0 multi=19.4249 len=79849.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1001600 flag=0 multi=19.4249 len=79849.fasta,79849
V1LD.contigs.10kb_virus_k127_1003376 flag=0 multi=33.9396 len=94053.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1003376 flag=0 multi=33.9396 len=94053.fasta,94053
V1LD.contigs.10kb_virus_k127_1008441 flag=0 multi=21.9665 len=85349.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1008441 flag=0 multi=21.9665 len=85349.fasta,85349
V1LD.contigs.10kb_virus_k127_1017704 flag=1 multi=8.4350 len=55827.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1017704 flag=1 multi=8.4350 len=55827.fasta,55827
V1LD.contigs.10kb_virus_k127_1018413 flag=0 multi=21.9957 len=96720.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1018413 flag=0 multi=21.9957 len=96720.fasta,96720
V1LD.contigs.10kb_virus_k127_1023801 flag=1 multi=17.0000 len=55055.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1023801 flag=1 multi=17.0000 len=55055.fasta,55055
V1LD.contigs.10kb_virus_k127_1049438 flag=0 multi=20.9734 len=128129.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1049438 flag=0 multi=20.9734 len=128129.fasta,128129
V1LD.contigs.10kb_virus_k127_1062713 flag=1 multi=11.9266 len=57969.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1062713 flag=1 multi=11.9266 len=57969.fasta,57969
V1LD.contigs.10kb_virus_k127_1069762 flag=0 multi=13.4608 len=52335.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1069762 flag=0 multi=13.4608 len=52335.fasta,52335
V1LD.contigs.10kb_virus_k127_1071230 flag=0 multi=11.0000 len=53308.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1071230 flag=0 multi=11.0000 len=53308.fasta,53308
V1LD.contigs.10kb_virus_k127_1080368 flag=0 multi=14.0000 len=62560.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1080368 flag=0 multi=14.0000 len=62560.fasta,62560
V1LD.contigs.10kb_virus_k127_1087498 flag=1 multi=10.0000 len=59953.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1087498 flag=1 multi=10.0000 len=59953.fasta,59953
V1LD.contigs.10kb_virus_k127_1090268 flag=1 multi=8.9681 len=61572.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1090268 flag=1 multi=8.9681 len=61572.fasta,61572
V1LD.contigs.10kb_virus_k127_1099355 flag=0 multi=15.2670 len=52996.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1099355 flag=0 multi=15.2670 len=52996.fasta,52996
V1LD.contigs.10kb_virus_k127_1103777 flag=0 multi=15.5436 len=86948.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1103777 flag=0 multi=15.5436 len=86948.fasta,86948
V1LD.contigs.10kb_virus_k127_1117359 flag=1 multi=25.0000 len=62016.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1117359 flag=1 multi=25.0000 len=62016.fasta,62016
V1LD.contigs.10kb_virus_k127_1117748 flag=1 multi=49.0000 len=51252.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1117748 flag=1 multi=49.0000 len=51252.fasta,51252
V1LD.contigs.10kb_virus_k127_1126317 flag=1 multi=9.0000 len=53916.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1126317 flag=1 multi=9.0000 len=53916.fasta,53916
V1LD.contigs.10kb_virus_k127_1137315 flag=3 multi=31.0000 len=140383.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1137315 flag=3 multi=31.0000 len=140383.fasta,140383
V1LD.contigs.10kb_virus_k127_1141239 flag=1 multi=11.7456 len=72086.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1141239 flag=1 multi=11.7456 len=72086.fasta,72086
V1LD.contigs.10kb_virus_k127_1148513 flag=0 multi=19.7926 len=85558.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1148513 flag=0 multi=19.7926 len=85558.fasta,85558
V1LD.contigs.10kb_virus_k127_1155815 flag=0 multi=20.9977 len=87190.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1155815 flag=0 multi=20.9977 len=87190.fasta,87190
V1LD.contigs.10kb_virus_k127_1157185 flag=3 multi=9.0000 len=52006.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1157185 flag=3 multi=9.0000 len=52006.fasta,52006
V1LD.contigs.10kb_virus_k127_1168570 flag=0 multi=14.4760 len=72656.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1168570 flag=0 multi=14.4760 len=72656.fasta,72656
V1LD.contigs.10kb_virus_k127_1171253 flag=1 multi=19.0000 len=63034.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1171253 flag=1 multi=19.0000 len=63034.fasta,63034
V1LD.contigs.10kb_virus_k127_1171496 flag=0 multi=117.0000 len=52904.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V1LD.contigs.10kb_virus_k127_1171496 flag=0 multi=117.0000 len=52904.fasta,52904
